0	21106	
1	21110	
2	21002	
3	21214	
4	21056	
5	21151	
6	21089	
7	20932	
8	21024	
9	21293	
10	20961	
11	20956	
12	20826	
13	21147	
14	21034	
15	20815	
16	20914	
17	20886	
18	21209	
19	20744	
20	21279	
21	20674	
22	20987	
23	20941	
24	21036	
25	21066	
26	21044	
27	21094	
28	21118	
29	20595	
30	21220	
31	21042	
32	21018	
33	21192	
34	21131	
35	21047	
36	21184	
37	21111	
38	21033	
39	21247	
40	21084	
41	21100	
42	21067	
43	21180	
44	21149	
45	20808	
46	21179	
47	20904	
48	20938	
49	21226	
50	21003	
51	21161	
52	20938	
53	20738	
54	21083	
55	21150	
56	21031	
57	20909	
58	20984	
59	21181	
60	21236	
61	21021	
62	21130	
63	21014	
64	21080	
65	21044	
66	21091	
67	21217	
68	21111	
69	21043	
70	21232	
71	21038	
72	21040	
73	21037	
74	20970	
75	21144	
76	21035	
77	21274	
78	21115	
79	21039	
80	21033	
81	20984	
82	20953	
83	21145	
84	20983	
85	20810	
86	21060	
87	20977	
88	21089	
89	20912	
90	21163	
91	21137	
92	21082	
93	21192	
94	20964	
95	21112	
96	21157	
97	21027	
98	21060	
99	21092	
100	21178	
101	21049	
102	21080	
103	21115	
104	21147	
105	21090	
106	21020	
107	21119	
108	20912	
109	21051	
110	21090	
111	21224	
112	21001	
113	21041	
114	21127	
115	20993	
116	21167	
117	20949	
118	21029	
119	21038	
120	21191	
121	21081	
122	21299	
123	21039	
124	21010	
125	21138	
126	21086	
127	21154	
128	21107	
129	21017	
130	21250	
131	21199	
132	21067	
133	21208	
134	21221	
135	21139	
136	21163	
137	21081	
138	21220	
139	20956	
140	21045	
141	21124	
142	21058	
143	21027	
144	21057	
145	21081	
146	21190	
147	20960	
148	21072	
149	21136	
150	20986	
151	21112	
152	21120	
153	21010	
154	21210	
155	21056	
156	21069	
157	21033	
158	21196	
159	21127	
160	21139	
161	20990	
162	21206	
163	20920	
164	21238	
165	20969	
166	21139	
167	21116	
168	21184	
169	21190	
170	21179	
171	21022	
172	21147	
173	21000	
174	21246	
175	20980	
176	21020	
177	21173	
178	21087	
179	21071	
180	21140	
181	21014	
182	21083	
183	20910	
184	21234	
185	21133	
186	20977	
187	21184	
188	20976	
189	20985	
190	20805	
191	20966	
192	20848	
193	21090	
194	21131	
195	20964	
196	20929	
197	20448	
198	21128	
199	20783	
200	21139	
201	20587	
202	20462	
203	20773	
204	20545	
205	20077	
206	19571	
207	19662	
208	20449	
209	20195	
210	20893	
211	21057	
212	20820	
213	21213	
214	20875	
215	21069	
216	21206	
217	21140	
218	20624	
219	20934	
220	21136	
221	21200	
222	20994	
223	20946	
224	20966	
225	21091	
226	21204	
227	20761	
228	21161	
229	20790	
230	20765	
231	20467	
232	20458	
233	20839	
234	20370	
235	20039	
236	19650	
237	19394	
238	19649	
239	19837	
240	19213	
241	20042	
242	19402	
243	19620	
244	20215	
245	20534	
246	20890	
247	20803	
248	20506	
249	20738	
250	21229	
251	20266	
252	20124	
253	20386	
254	20131	
255	19938	
256	20261	
257	20271	
258	19033	
259	18585	
260	17622	
261	17955	
262	16395	
263	13987	
264	13709	
265	13373	
266	11382	
267	6555	
268	2387	
269	-909	
270	-2997	
271	-1132	
272	3976	
273	8958	
274	13740	
275	15608	
276	19358	
277	21266	
278	22184	
279	19983	
280	20575	
281	20241	
282	20589	
283	19726	
284	18541	
285	18913	
286	19253	
287	18642	
288	17722	
289	16276	
290	15566	
291	12781	
292	11816	
293	9864	
294	5864	
295	4045	
296	-343	
297	-9335	
298	-16032	
299	-21976	
300	-27368	
301	-28731	
302	-30293	
303	-28756	
304	-24197	
305	-22159	
306	-10728	
307	273	
308	10362	
309	13171	
310	16400	
311	15245	
312	15832	
313	14919	
314	14450	
315	12887	
316	12073	
317	10249	
318	8799	
319	7153	
320	4064	
321	-1213	
322	-3435	
323	-8012	
324	-13521	
325	-18677	
326	-21226	
327	-28110	
328	-29519	
329	-32012	
330	-32750	
331	-32768	
332	-32768	
333	-32768	
334	-32768	
335	-32768	
336	-32768	
